aircraft,latitude,longitude,geoAltitude,PitchAngle,DirectionAngle
1,28.42,77.12,10866.12,30,10
2,29.42,77.12,10866.12,30,10
3,30.42,77.12,10866.12,30,10
1,28.4456,77.20871,10868.9,30,11
2,29.4456,77.20871,10868.9,30,11
3,30.4456,77.20871,10868.9,30,11
1,28.4712,77.29742,10865.5,30,12
2,29.4712,77.29742,10865.5,30,12
3,30.4712,77.29742,10865.5,30,12
1,28.4968,77.38613,10870.74,30,13
2,29.4968,77.38613,10870.74,30,13
3,30.4968,77.38613,10870.74,30,13
1,28.5224,77.47484,10866.12,30,14
2,29.5224,77.47484,10866.12,30,14
3,30.5224,77.47484,10866.12,30,14
1,28.548,77.56355,10868.9,30,15
2,29.548,77.56355,10868.9,30,15
3,30.548,77.56355,10868.9,30,15
1,28.5736,77.65226,10865.5,30,16
2,29.5736,77.65226,10865.5,30,16
3,30.5736,77.65226,10865.5,30,16
1,28.5992,77.74097,10870.74,30,17
2,29.5992,77.74097,10870.74,30,17
3,30.5992,77.74097,10870.74,30,17
1,28.6248,77.82968,10866.12,30,18
2,29.6248,77.82968,10866.12,30,18
3,30.6248,77.82968,10866.12,30,18
1,28.6504,77.91839,10868.9,30,19
2,29.6504,77.91839,10868.9,30,19
3,30.6504,77.91839,10868.9,30,19
1,28.676,78.0071,10865.5,30,20
2,29.676,78.0071,10865.5,30,20
3,30.676,78.0071,10865.5,30,20
1,28.7016,78.09581,10870.74,30,21
2,29.7016,78.09581,10870.74,30,21
3,30.7016,78.09581,10870.74,30,21
1,28.7272,78.18452,10866.12,30,22
2,29.7272,78.18452,10866.12,30,22
3,30.7272,78.18452,10866.12,30,22
1,28.7528,78.27323,10868.9,30,23
2,29.7528,78.27323,10868.9,30,23
3,30.7528,78.27323,10868.9,30,23
1,28.7784,78.36194,10865.5,30,24
2,29.7784,78.36194,10865.5,30,24
3,30.7784,78.36194,10865.5,30,24
1,28.804,78.45065,10870.74,30,25
2,29.804,78.45065,10870.74,30,25
3,30.804,78.45065,10870.74,30,25
1,28.8296,78.53936,10866.12,30,26
2,29.8296,78.53936,10866.12,30,26
3,30.8296,78.53936,10866.12,30,26
1,28.8552,78.62807,10868.9,30,27
2,29.8552,78.62807,10868.9,30,27
3,30.8552,78.62807,10868.9,30,27
1,28.8808,78.71678,10865.5,30,28
2,29.8808,78.71678,10865.5,30,28
3,30.8808,78.71678,10865.5,30,28
1,28.9064,78.80549,10870.74,30,29
2,29.9064,78.80549,10870.74,30,29
3,30.9064,78.80549,10870.74,30,29
1,28.932,78.8942,10866.12,30,30
2,29.932,78.8942,10866.12,30,30
3,30.932,78.8942,10866.12,30,30
1,28.9576,78.98291,10868.9,30,31
2,29.9576,78.98291,10868.9,30,31
3,30.9576,78.98291,10868.9,30,31
1,28.9832,79.07162,10865.5,30,32
2,29.9832,79.07162,10865.5,30,32
3,30.9832,79.07162,10865.5,30,32
1,29.0088,79.16033,10870.74,30,33
2,30.0088,79.16033,10870.74,30,33
3,31.0088,79.16033,10870.74,30,33
1,29.0344,79.24904,10866.12,30,34
2,30.0344,79.24904,10866.12,30,34
3,31.0344,79.24904,10866.12,30,34
1,29.06,79.33775,10868.9,30,35
2,30.06,79.33775,10868.9,30,35
3,31.06,79.33775,10868.9,30,35
1,29.0856,79.42646,10865.5,30,36
2,30.0856,79.42646,10865.5,30,36
3,31.0856,79.42646,10865.5,30,36
1,29.1112,79.51517,10870.74,30,37
2,30.1112,79.51517,10870.74,30,37
3,31.1112,79.51517,10870.74,30,37
1,29.1368,79.60388,10866.12,30,38
2,30.1368,79.60388,10866.12,30,38
3,31.1368,79.60388,10866.12,30,38
1,29.1624,79.69259,10868.9,30,39
2,30.1624,79.69259,10868.9,30,39
3,31.1624,79.69259,10868.9,30,39
1,29.188,79.7813,10865.5,30,40
2,30.188,79.7813,10865.5,30,40
3,31.188,79.7813,10865.5,30,40
1,29.2136,79.87001,10870.74,30,10
2,30.2136,79.87001,10870.74,30,10
3,31.2136,79.87001,10870.74,30,10
1,29.2392,79.95872,10866.12,30,11
2,30.2392,79.95872,10866.12,30,11
3,31.2392,79.95872,10866.12,30,11
1,29.2648,80.04743,10868.9,30,12
2,30.2648,80.04743,10868.9,30,12
3,31.2648,80.04743,10868.9,30,12
1,29.2904,80.13614,10865.5,30,13
2,30.2904,80.13614,10865.5,30,13
3,31.2904,80.13614,10865.5,30,13
1,29.316,80.22485,10870.74,30,14
2,30.316,80.22485,10870.74,30,14
3,31.316,80.22485,10870.74,30,14
1,29.3416,80.31356,10866.12,30,15
2,30.3416,80.31356,10866.12,30,15
3,31.3416,80.31356,10866.12,30,15
1,29.3672,80.40227,10868.9,30,16
2,30.3672,80.40227,10868.9,30,16
3,31.3672,80.40227,10868.9,30,16
1,29.3928,80.49098,10865.5,30,17
2,30.3928,80.49098,10865.5,30,17
3,31.3928,80.49098,10865.5,30,17
1,29.4184,80.57969,10870.74,30,18
2,30.4184,80.57969,10870.74,30,18
3,31.4184,80.57969,10870.74,30,18
1,29.444,80.6684,10866.12,30,19
2,30.444,80.6684,10866.12,30,19
3,31.444,80.6684,10866.12,30,19
1,29.4696,80.75711,10868.9,30,20
2,30.4696,80.75711,10868.9,30,20
3,31.4696,80.75711,10868.9,30,20
1,29.4952,80.84582,10865.5,30,21
2,30.4952,80.84582,10865.5,30,21
3,31.4952,80.84582,10865.5,30,21
1,29.5208,80.93453,10870.74,30,22
2,30.5208,80.93453,10870.74,30,22
3,31.5208,80.93453,10870.74,30,22
1,29.5464,81.02324,10866.12,30,23
2,30.5464,81.02324,10866.12,30,23
3,31.5464,81.02324,10866.12,30,23
1,29.572,81.11195,10868.9,30,24
2,30.572,81.11195,10868.9,30,24
3,31.572,81.11195,10868.9,30,24
1,29.5976,81.20066,10865.5,30,25
2,30.5976,81.20066,10865.5,30,25
3,31.5976,81.20066,10865.5,30,25
1,29.6232,81.28937,10870.74,30,26
2,30.6232,81.28937,10870.74,30,26
3,31.6232,81.28937,10870.74,30,26
1,29.6488,81.37808,10866.12,30,27
2,30.6488,81.37808,10866.12,30,27
3,31.6488,81.37808,10866.12,30,27
1,29.6744,81.46679,10868.9,30,28
2,30.6744,81.46679,10868.9,30,28
3,31.6744,81.46679,10868.9,30,28
1,29.7,81.5555,10865.5,30,29
2,30.7,81.5555,10865.5,30,29
3,31.7,81.5555,10865.5,30,29
1,29.7256,81.64421,10870.74,30,30
2,30.7256,81.64421,10870.74,30,30
3,31.7256,81.64421,10870.74,30,30
1,29.7512,81.73292,10866.12,30,31
2,30.7512,81.73292,10866.12,30,31
3,31.7512,81.73292,10866.12,30,31
1,29.7768,81.82163,10868.9,30,32
2,30.7768,81.82163,10868.9,30,32
3,31.7768,81.82163,10868.9,30,32
1,29.8024,81.91034,10865.5,30,33
2,30.8024,81.91034,10865.5,30,33
3,31.8024,81.91034,10865.5,30,33
1,29.828,81.99905,10870.74,30,34
2,30.828,81.99905,10870.74,30,34
3,31.828,81.99905,10870.74,30,34
1,29.8536,82.08776,10866.12,30,35
2,30.8536,82.08776,10866.12,30,35
3,31.8536,82.08776,10866.12,30,35
1,29.8792,82.17647,10868.9,30,36
2,30.8792,82.17647,10868.9,30,36
3,31.8792,82.17647,10868.9,30,36
1,29.9048,82.26518,10865.5,30,37
2,30.9048,82.26518,10865.5,30,37
3,31.9048,82.26518,10865.5,30,37
1,29.9304,82.35389,10870.74,30,38
2,30.9304,82.35389,10870.74,30,38
3,31.9304,82.35389,10870.74,30,38
1,29.956,82.4426,10866.12,30,39
2,30.956,82.4426,10866.12,30,39
3,31.956,82.4426,10866.12,30,39
1,29.9816,82.53131,10868.9,30,40
2,30.9816,82.53131,10868.9,30,40
3,31.9816,82.53131,10868.9,30,40
1,30.0072,82.62002,10865.5,30,10
2,31.0072,82.62002,10865.5,30,10
3,32.0072,82.62002,10865.5,30,10
1,30.0328,82.70873,10870.74,30,11
2,31.0328,82.70873,10870.74,30,11
3,32.0328,82.70873,10870.74,30,11
