aircraft,latitude,longitude,geoAltitude,PitchAngle,DirectionAngle
1,46.12133789,14.73119224,10866.12,30,10
2,58.69825745,16.31895004,8724.9,30,11
3,46.23495483,5.740155476,10477.5,30,12
4,60.29296875,21.99335371,8587.74,30,13
1,46.12133789,14.73119224,10866.12,30,14
2,58.69825745,16.31895004,8724.9,30,15
3,46.23495483,5.740155476,10477.5,30,16
4,60.29296875,21.99335371,8587.74,30,17
1,46.12133789,14.73119224,10866.12,30,18
2,58.69825745,16.31895004,8724.9,30,19
3,46.23495483,5.740155476,10477.5,30,20
4,60.29296875,21.99335371,8587.74,30,21
1,46.12133789,14.73119224,10866.12,30,22
2,58.69825745,16.31895004,8724.9,30,23
3,46.23495483,5.740155476,10477.5,30,24
4,60.29296875,21.99335371,8587.74,30,25
1,46.12133789,14.73119224,10866.12,30,26
2,58.69825745,16.31895004,8724.9,30,27
3,46.23495483,5.740155476,10477.5,30,28
4,60.29296875,21.99335371,8587.74,30,29
1,46.12133789,14.73119224,10866.12,30,30
2,58.69825745,16.31895004,8724.9,30,31
3,46.23495483,5.740155476,10477.5,30,32
4,60.29296875,21.99335371,8587.74,30,33
1,46.12133789,14.73119224,10866.12,30,34
2,58.69825745,16.31895004,8724.9,30,35
3,46.23495483,5.740155476,10477.5,30,36
4,60.29296875,21.99335371,8587.74,30,37
1,46.12133789,14.73119224,10866.12,30,38
2,58.69825745,16.31895004,8724.9,30,39
3,46.23495483,5.740155476,10477.5,30,40
4,60.29296875,21.99335371,8587.74,30,10
1,46.12133789,14.73119224,10866.12,30,11
2,58.69825745,16.31895004,8724.9,30,12
3,46.23495483,5.740155476,10477.5,30,13
4,60.29296875,21.99335371,8587.74,30,14
1,46.12133789,14.73119224,10866.12,30,15
2,58.69825745,16.31895004,8724.9,30,16
3,46.23495483,5.740155476,10477.5,30,17
4,60.29296875,21.99335371,8587.74,30,18
1,46.12133789,14.73119224,10866.12,30,19
2,58.69825745,16.31895004,8724.9,30,20
3,46.23495483,5.740155476,10477.5,30,21
4,60.29296875,21.99335371,8587.74,30,22
1,46.12133789,14.73119224,10866.12,30,23
2,58.69825745,16.31895004,8724.9,30,24
3,46.23495483,5.740155476,10477.5,30,25
4,60.29296875,21.99335371,8587.74,30,26
1,46.12133789,14.73119224,10866.12,30,27
2,58.69825745,16.31895004,8724.9,30,28
3,46.23495483,5.740155476,10477.5,30,29
4,60.29296875,21.99335371,8587.74,30,30
1,46.12133789,14.73119224,10866.12,30,31
2,58.69825745,16.31895004,8724.9,30,32
3,46.23495483,5.740155476,10477.5,30,33
4,60.29296875,21.99335371,8587.74,30,34
1,46.12133789,14.73119224,10866.12,30,35
2,58.69825745,16.31895004,8724.9,30,36
3,46.23495483,5.740155476,10477.5,30,37
4,60.29296875,21.99335371,8587.74,30,38
1,46.12133789,14.73119224,10866.12,30,39
2,58.69825745,16.31895004,8724.9,30,40
3,46.23495483,5.740155476,10477.5,30,10
4,60.29296875,21.99335371,8587.74,30,11
1,46.12133789,14.73119224,10866.12,30,12
2,58.69825745,16.31895004,8724.9,30,13
3,46.23495483,5.740155476,10477.5,30,14
4,60.29296875,21.99335371,8587.74,30,15
1,46.12133789,14.73119224,10866.12,30,16
2,58.69825745,16.31895004,8724.9,30,17
3,46.23495483,5.740155476,10477.5,30,18
4,60.29296875,21.99335371,8587.74,30,19
1,46.12133789,14.73119224,10866.12,30,20
2,58.69825745,16.31895004,8724.9,30,21
3,46.23495483,5.740155476,10477.5,30,22
4,60.29296875,21.99335371,8587.74,30,23
1,46.12133789,14.73119224,10866.12,30,24
2,58.69825745,16.31895004,8724.9,30,25
3,46.23495483,5.740155476,10477.5,30,26
4,60.29296875,21.99335371,8587.74,30,27
1,46.12133789,14.73119224,10866.12,30,28
2,58.69825745,16.31895004,8724.9,30,29
3,46.23495483,5.740155476,10477.5,30,30
4,60.29296875,21.99335371,8587.74,30,31
1,46.12133789,14.73119224,10866.12,30,32
2,58.69825745,16.31895004,8724.9,30,33
3,46.23495483,5.740155476,10477.5,30,34
4,60.29296875,21.99335371,8587.74,30,35
1,46.12133789,14.73119224,10866.12,30,36
2,58.69825745,16.31895004,8724.9,30,37
3,46.23495483,5.740155476,10477.5,30,38
4,60.29296875,21.99335371,8587.74,30,39
1,46.12133789,14.73119224,10866.12,30,40
2,58.69825745,16.31895004,8724.9,30,10
3,46.23495483,5.740155476,10477.5,30,11
4,60.29296875,21.99335371,8587.74,30,12
1,46.12133789,14.73119224,10866.12,30,13
2,58.69825745,16.31895004,8724.9,30,14
3,46.23495483,5.740155476,10477.5,30,15
4,60.29296875,21.99335371,8587.74,30,16
1,46.12133789,14.73119224,10866.12,30,17
2,58.69825745,16.31895004,8724.9,30,18
3,46.23495483,5.740155476,10477.5,30,19
4,60.29296875,21.99335371,8587.74,30,20
1,46.12133789,14.73119224,10866.12,30,21
2,58.69825745,16.31895004,8724.9,30,22
3,46.23495483,5.740155476,10477.5,30,23
4,60.29296875,21.99335371,8587.74,30,24
1,46.12133789,14.73119224,10866.12,30,25
2,58.69825745,16.31895004,8724.9,30,26
3,46.23495483,5.740155476,10477.5,30,27
4,60.29296875,21.99335371,8587.74,30,28
1,46.12133789,14.73119224,10866.12,30,29
2,58.69825745,16.31895004,8724.9,30,30
3,46.23495483,5.740155476,10477.5,30,31
4,60.29296875,21.99335371,8587.74,30,32
1,46.12133789,14.73119224,10866.12,30,33
2,58.69825745,16.31895004,8724.9,30,34
3,46.23495483,5.740155476,10477.5,30,35
4,60.29296875,21.99335371,8587.74,30,36
1,46.12133789,14.73119224,10866.12,30,37
2,58.69825745,16.31895004,8724.9,30,38
3,46.23495483,5.740155476,10477.5,30,39
4,60.29296875,21.99335371,8587.74,30,40
1,46.12133789,14.73119224,10866.12,30,10
2,58.69825745,16.31895004,8724.9,30,11
3,46.23495483,5.740155476,10477.5,30,12
4,60.29296875,21.99335371,8587.74,30,13
1,46.12133789,14.73119224,10866.12,30,14
2,58.69825745,16.31895004,8724.9,30,15
3,46.23495483,5.740155476,10477.5,30,16
4,60.29296875,21.99335371,8587.74,30,17
1,46.12133789,14.73119224,10866.12,30,18
2,58.69825745,16.31895004,8724.9,30,19
3,46.23495483,5.740155476,10477.5,30,20
4,60.29296875,21.99335371,8587.74,30,21
1,46.12133789,14.73119224,10866.12,30,22
2,58.69825745,16.31895004,8724.9,30,23
3,46.23495483,5.740155476,10477.5,30,24
4,60.29296875,21.99335371,8587.74,30,25
1,46.12133789,14.73119224,10866.12,30,26
2,58.69825745,16.31895004,8724.9,30,27
3,46.23495483,5.740155476,10477.5,30,28
4,60.29296875,21.99335371,8587.74,30,29
1,46.12133789,14.73119224,10866.12,30,30
2,58.69825745,16.31895004,8724.9,30,31
3,46.23495483,5.740155476,10477.5,30,32
4,60.29296875,21.99335371,8587.74,30,33
1,46.12133789,14.73119224,10866.12,30,34
2,58.69825745,16.31895004,8724.9,30,35
3,46.23495483,5.740155476,10477.5,30,36
4,60.29296875,21.99335371,8587.74,30,37
1,46.12133789,14.73119224,10866.12,30,38
2,58.69825745,16.31895004,8724.9,30,39
3,46.23495483,5.740155476,10477.5,30,40
4,60.29296875,21.99335371,8587.74,30,10
1,46.12133789,14.73119224,10866.12,30,11
2,58.69825745,16.31895004,8724.9,30,12
3,46.23495483,5.740155476,10477.5,30,13
4,60.29296875,21.99335371,8587.74,30,14
1,46.12133789,14.73119224,10866.12,30,15
2,58.69825745,16.31895004,8724.9,30,16
3,46.23495483,5.740155476,10477.5,30,17
4,60.29296875,21.99335371,8587.74,30,18
1,46.12133789,14.73119224,10866.12,30,19
2,58.69825745,16.31895004,8724.9,30,20
3,46.23495483,5.740155476,10477.5,30,21
4,60.29296875,21.99335371,8587.74,30,22
1,46.12133789,14.73119224,10866.12,30,23
2,58.69825745,16.31895004,8724.9,30,24
3,46.23495483,5.740155476,10477.5,30,25
4,60.29296875,21.99335371,8587.74,30,26
1,46.12133789,14.73119224,10866.12,30,27
2,58.69825745,16.31895004,8724.9,30,28
3,46.23495483,5.740155476,10477.5,30,29
4,60.29296875,21.99335371,8587.74,30,30
1,46.12133789,14.73119224,10866.12,30,31
2,58.69825745,16.31895004,8724.9,30,32
3,46.23495483,5.740155476,10477.5,30,33
4,60.29296875,21.99335371,8587.74,30,34
1,46.12133789,14.73119224,10866.12,30,35
2,58.69825745,16.31895004,8724.9,30,36
3,46.23495483,5.740155476,10477.5,30,37
4,60.29296875,21.99335371,8587.74,30,38
1,46.12133789,14.73119224,10866.12,30,39
2,58.69825745,16.31895004,8724.9,30,40
3,46.23495483,5.740155476,10477.5,30,10
4,60.29296875,21.99335371,8587.74,30,11
1,46.12133789,14.73119224,10866.12,30,12
2,58.69825745,16.31895004,8724.9,30,13
3,46.23495483,5.740155476,10477.5,30,14
4,60.29296875,21.99335371,8587.74,30,15
1,46.12133789,14.73119224,10866.12,30,16
2,58.69825745,16.31895004,8724.9,30,17
3,46.23495483,5.740155476,10477.5,30,18
4,60.29296875,21.99335371,8587.74,30,19
1,46.12133789,14.73119224,10866.12,30,20
2,58.69825745,16.31895004,8724.9,30,21
3,46.23495483,5.740155476,10477.5,30,22
4,60.29296875,21.99335371,8587.74,30,23
1,46.12133789,14.73119224,10866.12,30,24
2,58.69825745,16.31895004,8724.9,30,25
3,46.23495483,5.740155476,10477.5,30,26
4,60.29296875,21.99335371,8587.74,30,27
1,46.12133789,14.73119224,10866.12,30,28
2,58.69825745,16.31895004,8724.9,30,29
3,46.23495483,5.740155476,10477.5,30,30
4,60.29296875,21.99335371,8587.74,30,31
1,46.12133789,14.73119224,10866.12,30,32
2,58.69825745,16.31895004,8724.9,30,33
3,46.23495483,5.740155476,10477.5,30,34
4,60.29296875,21.99335371,8587.74,30,35
1,46.12133789,14.73119224,10866.12,30,36
2,58.69825745,16.31895004,8724.9,30,37
3,46.23495483,5.740155476,10477.5,30,38
4,60.29296875,21.99335371,8587.74,30,39
1,46.12133789,14.73119224,10866.12,30,40
2,58.69825745,16.31895004,8724.9,30,10
3,46.23495483,5.740155476,10477.5,30,11
4,60.29296875,21.99335371,8587.74,30,12
1,46.12133789,14.73119224,10866.12,30,13
2,58.69825745,16.31895004,8724.9,30,14
3,46.23495483,5.740155476,10477.5,30,15
4,60.29296875,21.99335371,8587.74,30,16
1,46.12133789,14.73119224,10866.12,30,17
2,58.69825745,16.31895004,8724.9,30,18
3,46.23495483,5.740155476,10477.5,30,19
4,60.29296875,21.99335371,8587.74,30,20
1,46.12133789,14.73119224,10866.12,30,21
2,58.69825745,16.31895004,8724.9,30,22
3,46.23495483,5.740155476,10477.5,30,23
4,60.29296875,21.99335371,8587.74,30,24
1,46.12133789,14.73119224,10866.12,30,25
2,58.69825745,16.31895004,8724.9,30,26
3,46.23495483,5.740155476,10477.5,30,27
4,60.29296875,21.99335371,8587.74,30,28
1,46.12133789,14.73119224,10866.12,30,29
2,58.69825745,16.31895004,8724.9,30,30
3,46.23495483,5.740155476,10477.5,30,31
4,60.29296875,21.99335371,8587.74,30,32
1,46.12133789,14.73119224,10866.12,30,33
2,58.69825745,16.31895004,8724.9,30,34
3,46.23495483,5.740155476,10477.5,30,35
4,60.29296875,21.99335371,8587.74,30,36
1,46.12133789,14.73119224,10866.12,30,37
2,58.69825745,16.31895004,8724.9,30,38
3,46.23495483,5.740155476,10477.5,30,39
4,60.29296875,21.99335371,8587.74,30,40
1,46.12133789,14.73119224,10866.12,30,10
2,58.69825745,16.31895004,8724.9,30,11
3,46.23495483,5.740155476,10477.5,30,12
4,60.29296875,21.99335371,8587.74,30,13
1,46.12133789,14.73119224,10866.12,30,14
2,58.69825745,16.31895004,8724.9,30,15
3,46.23495483,5.740155476,10477.5,30,16
4,60.29296875,21.99335371,8587.74,30,17
1,46.12133789,14.73119224,10866.12,30,18
2,58.69825745,16.31895004,8724.9,30,19
3,46.23495483,5.740155476,10477.5,30,20
4,60.29296875,21.99335371,8587.74,30,21
1,46.12133789,14.73119224,10866.12,30,22
2,58.69825745,16.31895004,8724.9,30,23
3,46.23495483,5.740155476,10477.5,30,24
4,60.29296875,21.99335371,8587.74,30,25
1,46.12133789,14.73119224,10866.12,30,26
2,58.69825745,16.31895004,8724.9,30,27
3,46.23495483,5.740155476,10477.5,30,28
4,60.29296875,21.99335371,8587.74,30,29
1,46.12133789,14.73119224,10866.12,30,30
2,58.69825745,16.31895004,8724.9,30,31
3,46.23495483,5.740155476,10477.5,30,32
4,60.29296875,21.99335371,8587.74,30,33
1,46.12133789,14.73119224,10866.12,30,34
2,58.69825745,16.31895004,8724.9,30,35
3,46.23495483,5.740155476,10477.5,30,36
4,60.29296875,21.99335371,8587.74,30,37
1,46.12133789,14.73119224,10866.12,30,38
2,58.69825745,16.31895004,8724.9,30,39
3,46.23495483,5.740155476,10477.5,30,40
4,60.29296875,21.99335371,8587.74,30,10
1,46.12133789,14.73119224,10866.12,30,11
2,58.69825745,16.31895004,8724.9,30,12
3,46.23495483,5.740155476,10477.5,30,13
4,60.29296875,21.99335371,8587.74,30,14
1,46.12133789,14.73119224,10866.12,30,15
2,58.69825745,16.31895004,8724.9,30,16
3,46.23495483,5.740155476,10477.5,30,17
4,60.29296875,21.99335371,8587.74,30,18
1,46.12133789,14.73119224,10866.12,30,19
2,58.69825745,16.31895004,8724.9,30,20
3,46.23495483,5.740155476,10477.5,30,21
4,60.29296875,21.99335371,8587.74,30,22
1,46.12133789,14.73119224,10866.12,30,23
2,58.69825745,16.31895004,8724.9,30,24
3,46.23495483,5.740155476,10477.5,30,25
4,60.29296875,21.99335371,8587.74,30,26
1,46.12133789,14.73119224,10866.12,30,27
2,58.69825745,16.31895004,8724.9,30,28
3,46.23495483,5.740155476,10477.5,30,29
4,60.29296875,21.99335371,8587.74,30,30
1,46.12133789,14.73119224,10866.12,30,31
2,58.69825745,16.31895004,8724.9,30,32
3,46.23495483,5.740155476,10477.5,30,33
4,60.29296875,21.99335371,8587.74,30,34
1,46.12133789,14.73119224,10866.12,30,35
2,58.69825745,16.31895004,8724.9,30,36
3,46.23495483,5.740155476,10477.5,30,37
4,60.29296875,21.99335371,8587.74,30,38
1,46.12133789,14.73119224,10866.12,30,39
2,58.69825745,16.31895004,8724.9,30,40
3,46.23495483,5.740155476,10477.5,30,10
4,60.29296875,21.99335371,8587.74,30,11
1,46.12133789,14.73119224,10866.12,30,12
