aircraft,latitude,longitude,geoAltitude,PitchAngle,DirectionAngle
1,28.42,77.12,10866.12,30,10
2,38.42,77.22,20866.22,30,20
1,28.4456,77.20871,10870.9,30,11
2,38.4456,77.20872,20870.9,30,22
1,28.4712,77.29742,10869.5,30,12
2,38.4722,77.29742,20869.5,30,22
1,28.4968,77.38613,10867.74,30,13
2,38.4968,77.38623,20867.74,30,23
1,28.5224,77.47484,10866.12,30,14
2,38.5224,77.47484,20866.22,30,24
1,28.548,77.56355,10870.9,30,15
2,38.548,77.56355,20870.9,30,25
1,28.5736,77.65226,10869.5,30,16
2,38.5736,77.65226,20869.5,30,26
1,28.5992,77.74097,10867.74,30,17
2,38.5992,77.74097,20867.74,30,27
1,28.6248,77.82968,10866.12,30,18
2,38.6248,77.82968,20866.22,30,28
1,28.6504,77.91839,10870.9,30,19
2,38.6504,77.92839,20870.9,30,29
1,28.676,78.0071,10869.5,30,20
2,38.676,78.0072,20869.5,30,20
1,28.7016,78.09581,10867.74,30,21
2,38.7026,78.09582,20867.74,30,22
1,28.7272,78.18452,10866.12,30,22
2,38.7272,78.28452,20866.22,30,22
1,28.7528,78.27323,10870.9,30,23
2,38.7528,78.27323,20870.9,30,23
1,28.7784,78.36194,10869.5,30,24
2,38.7784,78.36294,20869.5,30,24
1,28.804,78.45065,10867.74,30,25
2,38.804,78.45065,20867.74,30,25
1,28.8296,78.53936,10866.12,30,26
2,38.8296,78.53936,20866.22,30,26
1,28.8552,78.62807,10870.9,30,27
2,38.8552,78.62807,20870.9,30,27
1,28.8808,78.71678,10869.5,30,28
2,38.8808,78.72678,20869.5,30,28
1,28.9064,78.80549,10867.74,30,29
2,38.9064,78.80549,20867.74,30,29
1,28.932,78.8942,10866.12,30,30
2,38.932,78.8942,20866.22,30,30
1,28.9576,78.98291,10870.9,30,31
2,38.9576,78.98292,20870.9,30,32
1,28.9832,79.07162,10869.5,30,32
2,38.9832,79.07262,20869.5,30,32
1,29.0088,79.16033,10867.74,30,33
2,39.0088,79.26033,20867.74,30,33
1,29.0344,79.24904,10866.12,30,34
2,39.0344,79.24904,20866.22,30,34
1,29.06,79.33775,10870.9,30,35
2,39.06,79.33775,20870.9,30,35
1,29.0856,79.42646,10869.5,30,36
2,39.0856,79.42646,20869.5,30,36
1,29.1112,79.51517,10867.74,30,37
2,39.2222,79.52527,20867.74,30,37
1,29.1368,79.60388,10866.12,30,38
2,39.2368,79.60388,20866.22,30,38
1,29.1624,79.69259,10870.9,30,39
2,39.2624,79.69259,20870.9,30,39
1,29.188,79.7813,10869.5,30,40
2,39.288,79.7823,20869.5,30,40
1,29.2136,79.87001,10867.74,30,10
2,39.2236,79.87002,20867.74,30,20
1,29.2392,79.95872,10866.12,30,11
2,39.2392,79.95872,20866.22,30,22
1,29.2648,80.04743,10870.9,30,12
2,39.2648,80.04743,20870.9,30,22
1,29.2904,80.13614,10869.5,30,13
2,39.2904,80.23624,20869.5,30,23
1,29.316,80.22485,10867.74,30,14
2,39.326,80.22485,20867.74,30,24
1,29.3416,80.31356,10866.12,30,15
2,39.3426,80.32356,20866.22,30,25
1,29.3672,80.40227,10870.9,30,16
2,39.3672,80.40227,20870.9,30,26
1,29.3928,80.49098,10869.5,30,17
2,39.3928,80.49098,20869.5,30,27
1,29.4184,80.57969,10867.74,30,18
2,39.4284,80.57969,20867.74,30,28
1,29.444,80.6684,10866.12,30,19
2,39.444,80.6684,20866.22,30,29
1,29.4696,80.75711,10870.9,30,20
2,39.4696,80.75722,20870.9,30,20
1,29.4952,80.84582,10869.5,30,21
2,39.4952,80.84582,20869.5,30,22
1,29.5208,80.93453,10867.74,30,22
2,39.5208,80.93453,20867.74,30,22
1,29.5464,81.02324,10866.12,30,23
2,39.5464,82.02324,20866.22,30,23
1,29.572,81.11195,10870.9,30,24
2,39.572,82.22295,20870.9,30,24
1,29.5976,81.20066,10869.5,30,25
2,39.5976,82.20066,20869.5,30,25
1,29.6232,81.28937,10867.74,30,26
2,39.6232,82.28937,20867.74,30,26
1,29.6488,81.37808,10866.12,30,27
2,39.6488,82.37808,20866.22,30,27
1,29.6744,81.46679,10870.9,30,28
2,39.6744,82.46679,20870.9,30,28
1,29.7,81.5555,10869.5,30,29
2,39.7,82.5555,20869.5,30,29
1,29.7256,81.64421,10867.74,30,30
2,39.7256,82.64422,20867.74,30,30
1,29.7512,81.73292,10866.12,30,31
2,39.7522,82.73292,20866.22,30,32
1,29.7768,81.82163,10870.9,30,32
2,39.7768,82.82263,20870.9,30,32
1,29.8024,81.91034,10869.5,30,33
2,39.8024,82.92034,20869.5,30,33
1,29.828,81.99905,10867.74,30,34
2,39.828,82.99905,20867.74,30,34
1,29.8536,82.08776,10866.12,30,35
2,39.8536,82.08776,20866.22,30,35
1,29.8792,82.17647,10870.9,30,36
2,39.8792,82.27647,20870.9,30,36
1,29.9048,82.26518,10869.5,30,37
2,39.9048,82.26528,20869.5,30,37
1,29.9304,82.35389,10867.74,30,38
2,39.9304,82.35389,20867.74,30,38
1,29.956,82.4426,10866.12,30,39
2,39.956,82.4426,20866.22,30,39
1,29.9816,82.53131,10870.9,30,40
2,39.9826,82.53232,20870.9,30,40
1,30.0072,82.62002,10869.5,30,10
2,40.0072,82.62002,20869.5,30,20
1,30.0328,82.70873,10867.74,30,11
2,40.0328,82.70873,20867.74,30,22
1,30.0584,82.79744,10866.12,30,12
2,40.0584,82.79744,20866.22,30,22
1,30.084,82.88615,10870.9,30,13
2,40.084,82.88625,20870.9,30,23
1,30.1096,82.97486,10869.5,30,14
2,40.2096,82.97486,20869.5,30,24
1,30.1352,83.06357,10867.74,30,15
2,40.2352,83.06357,20867.74,30,25
1,30.1608,83.15228,10866.12,30,16
2,40.2608,83.25228,20866.22,30,26
1,30.1864,83.24099,10870.9,30,17
2,40.2864,83.24099,20870.9,30,27
1,30.212,83.3297,10869.5,30,18
2,40.222,83.3297,20869.5,30,28
1,30.2376,83.41841,10867.74,30,19
2,40.2376,83.42842,20867.74,30,29
1,30.2632,83.50712,10866.12,30,20
2,40.2632,83.50722,20866.22,30,20
1,30.2888,83.59583,10870.9,30,21
2,40.2888,83.59583,20870.9,30,22
1,30.3144,83.68454,10869.5,30,22
2,40.3244,83.68454,20869.5,30,22
1,30.34,83.77325,10867.74,30,23
2,40.34,83.77325,20867.74,30,23
1,30.3656,83.86196,10866.12,30,24
2,40.3656,83.86296,20866.22,30,24
1,30.3912,83.95067,10870.9,30,25
2,40.3922,83.95067,20870.9,30,25
1,30.4168,84.03938,10869.5,30,26
2,40.4268,84.03938,20869.5,30,26
1,30.4424,84.12809,10867.74,30,27
2,40.4424,84.22809,20867.74,30,27
1,30.468,84.2168,10866.12,30,28
2,40.468,84.2268,20866.22,30,28
1,30.4936,84.30551,10870.9,30,29
2,40.4936,84.30552,20870.9,30,29
1,30.5192,84.39422,10869.5,30,30
2,40.5292,84.39422,20869.5,30,30
1,30.5448,84.48293,10867.74,30,31
2,40.5448,84.48293,20867.74,30,32
1,30.5704,84.57164,10866.12,30,32
2,40.5704,84.57264,20866.22,30,32
1,30.596,84.66035,10870.9,30,33
2,40.596,84.66035,20870.9,30,33
1,30.6216,84.74906,10869.5,30,34
2,40.6226,84.74906,20869.5,30,34
1,30.6472,84.83777,10867.74,30,35
2,40.6472,84.83777,20867.74,30,35
1,30.6728,84.92648,10866.12,30,36
2,40.6728,84.92648,20866.22,30,36
1,30.6984,85.01519,10870.9,30,37
2,40.6984,85.02529,20870.9,30,37
1,30.724,85.1039,10869.5,30,38
2,40.724,85.2039,20869.5,30,38
1,30.7496,85.19261,10867.74,30,39
2,40.7496,85.29262,20867.74,30,39
1,30.7752,85.28132,10866.12,30,40
2,40.7752,85.28232,20866.22,30,40
1,30.8008,85.37003,10870.9,30,10
2,40.8008,85.37003,20870.9,30,20
