latitude,longitude,geoAltitude
45,7,10
55,17,20
65,27,30
45,7,10
55,17,20
65,27,30
45,7,10
55,17,20
65,27,30
45,7,10
55,17,20
65,27,30
45,7,10
55,17,20
65,27,30
45,7,10
55,17,20
65,27,30
45,7,10
55,17,20
65,27,30
45,7,10
55,17,20
65,27,30
45,7,10
55,17,20
65,27,30
45,7,10
55,17,20
65,27,30
45,7,10
55,17,20
65,27,30
45,7,10
55,17,20
65,27,30
45,7,10
55,17,20
65,27,30
45,7,10
55,17,20
65,27,30
45,7,10
55,17,20
65,27,30
45,7,10
55,17,20
65,27,30
45,7,10
55,17,20
65,27,30
45,7,10
55,17,20
65,27,30
45,7,10
55,17,20
65,27,30
45,7,10
55,17,20
65,27,30
45,7,10
55,17,20
65,27,30
45,7,10
55,17,20
65,27,30
45,7,10
55,17,20
65,27,30
45,7,10
55,17,20
65,27,30
45,7,10
55,17,20
65,27,30
45,7,10
55,17,20
65,27,30
45,7,10
55,17,20
65,27,30
45,7,10
55,17,20
65,27,30
45,7,10
55,17,20
65,27,30
45,7,10
55,17,20
65,27,30
45,7,10
55,17,20
65,27,30
45,7,10
55,17,20
65,27,30
45,7,10
55,17,20
65,27,30
45,7,10
55,17,20
65,27,30
45,7,10
55,17,20
65,27,30
45,7,10
55,17,20
65,27,30
45,7,10
55,17,20
65,27,30
45,7,10
55,17,20
65,27,30
45,7,10
55,17,20
65,27,30
45,7,10
55,17,20
65,27,30
45,7,10
55,17,20
65,27,30
45,7,10
55,17,20
65,27,30
45,7,10
55,17,20
65,27,30
45,7,10
55,17,20
65,27,30
45,7,10
55,17,20
65,27,30
45,7,10
55,17,20
65,27,30
45,7,10
55,17,20
65,27,30
45,7,10
55,17,20
65,27,30
45,7,10
55,17,20
65,27,30
45,7,10
55,17,20
65,27,30
45,7,10
55,17,20
65,27,30
45,7,10
55,17,20
65,27,30
45,7,10
55,17,20
65,27,30
45,7,10
55,17,20
65,27,30
45,7,10
55,17,20
65,27,30
45,7,10
55,17,20
65,27,30
45,7,10
55,17,20
65,27,30
45,7,10
55,17,20
65,27,30
45,7,10
55,17,20
65,27,30
45,7,10
55,17,20
65,27,30
45,7,10
55,17,20
65,27,30
45,7,10
55,17,20
65,27,30
45,7,10
55,17,20
65,27,30
45,7,10
55,17,20
65,27,30
45,7,10
55,17,20
65,27,30
45,7,10
55,17,20
65,27,30
45,7,10
55,17,20
65,27,30
45,7,10
55,17,20
65,27,30
45,7,10
55,17,20
65,27,30
45,7,10
55,17,20
65,27,30
45,7,10
55,17,20
65,27,30
45,7,10
55,17,20
65,27,30
45,7,10
55,17,20
65,27,30
45,7,10
55,17,20
65,27,30
45,7,10
55,17,20
65,27,30
45,7,10
55,17,20
65,27,30
45,7,10
55,17,20
65,27,30
45,7,10
55,17,20
65,27,30
45,7,10
55,17,20
65,27,30
45,7,10
55,17,20
65,27,30
45,7,10
55,17,20
65,27,30
45,7,10
55,17,20
65,27,30
45,7,10
55,17,20
65,27,30
45,7,10
55,17,20
65,27,30
45,7,10
55,17,20
65,27,30
45,7,10
55,17,20
65,27,30
45,7,10
55,17,20
65,27,30
45,7,10
55,17,20
65,27,30
45,7,10
55,17,20
65,27,30
45,7,10
55,17,20
65,27,30
45,7,10
55,17,20
65,27,30
45,7,10
55,17,20
65,27,30
45,7,10
55,17,20
65,27,30
45,7,10
55,17,20
65,27,30
45,7,10
55,17,20
65,27,30
45,7,10
55,17,20
65,27,30
45,7,10
55,17,20
65,27,30
45,7,10
55,17,20
65,27,30
45,7,10
55,17,20
65,27,30
45,7,10
55,17,20
65,27,30
45,7,10
55,17,20
65,27,30
45,7,10
55,17,20
65,27,30
45,7,10
55,17,20
65,27,30
45,7,10
55,17,20
65,27,30
45,7,10
55,17,20
65,27,30
45,7,10
55,17,20
65,27,30
45,7,10
55,17,20
65,27,30
45,7,10
55,17,20
65,27,30
45,7,10
55,17,20
65,27,30
45,7,10
55,17,20
65,27,30
45,7,10
55,17,20
65,27,30
45,7,10
55,17,20
65,27,30
45,7,10
55,17,20
65,27,30
45,7,10
55,17,20
65,27,30
45,7,10
55,17,20
65,27,30
45,7,10
55,17,20
65,27,30
45,7,10
55,17,20
65,27,30
45,7,10
55,17,20
65,27,30
45,7,10
55,17,20
65,27,30
45,7,10
55,17,20
65,27,30
45,7,10
55,17,20
65,27,30
45,7,10
55,17,20
65,27,30
45,7,10
55,17,20
65,27,30
45,7,10
55,17,20
65,27,30
45,7,10
55,17,20
65,27,30
45,7,10
55,17,20
65,27,30
45,7,10
55,17,20
65,27,30
45,7,10
55,17,20
65,27,30
45,7,10
55,17,20
65,27,30
45,7,10
55,17,20
65,27,30
45,7,10
55,17,20
65,27,30
45,7,10
55,17,20
65,27,30
45,7,10
55,17,20
65,27,30
45,7,10
55,17,20
65,27,30
45,7,10
55,17,20
65,27,30
45,7,10
55,17,20
65,27,30
45,7,10
55,17,20
65,27,30
45,7,10
55,17,20
